bound_type,strain,ko,media,time_point,id,lb,ub
log_concentration,0,TPI,Glc,0,gua,-12.86770731518982,-12.276616384264129
log_concentration,0,TPI,Glc,0,his-L,-7.214393255602333,-6.926564758076781
log_concentration,0,TPI,Glc,0,hxan,-12.643073581020404,-12.486960102067917
log_concentration,0,TPI,Glc,0,imp,-10.53553590035678,-9.680739280611595
log_concentration,0,TPI,Glc,0,ins,-15.55626838166754,-14.449940820739796
log_concentration,0,TPI,Glc,0,itp,-13.910185470667912,-13.074256576590463
log_concentration,0,TPI,Glc,0,lac-D,-7.655590090453291,-6.951392301588872
log_concentration,0,TPI,Glc,0,mal-L,-9.137942657074863,-8.924322038388036
log_concentration,0,TPI,Glc,0,met-L,-11.337001438775214,-10.540268266078312
log_concentration,0,TPI,Glc,0,mmal,-11.476534861176273,-11.042440453406002
log_concentration,0,TPI,Glc,0,nad,-7.02103822180657,-6.645832531645068
log_concentration,0,TPI,Glc,0,nadh,-14.064434622540896,-13.579954606918063
log_concentration,0,TPI,Glc,0,nadp,-8.510008806739844,-8.02997000579965
log_concentration,0,TPI,Glc,0,nadph,-11.917904835287178,-11.074993671190756
log_concentration,0,TPI,Glc,0,orn,-5.997281934714787,-4.457988519449614
log_concentration,0,TPI,Glc,0,pep,-10.425222422123953,-9.950448355321921
log_concentration,0,TPI,Glc,0,phe-L,-11.562808096734457,-10.883963730298271
log_concentration,0,TPI,Glc,0,phpyr,-8.478991413694125,-7.907647539784179
log_concentration,0,TPI,Glc,0,pyr,-9.649230757380034,-7.389822641616708
log_concentration,0,TPI,Glc,0,r5p,-9.501892310913393,-9.015541714038957
log_concentration,0,TPI,Glc,0,ru5p-D,-11.24005974997375,-10.246676850443214
log_concentration,0,TPI,Glc,0,s7p,-8.839450369711786,-8.1204790386363
log_concentration,0,TPI,Glc,0,ser-L,-9.056669456174221,-8.727110940727998
log_concentration,0,TPI,Glc,0,skm,-13.434891168816373,-12.86501360750208
log_concentration,0,TPI,Glc,0,succ,-8.371559053465813,-7.971479071439239
log_concentration,0,TPI,Glc,0,thr-L,-8.413239317906744,-8.14846524514828
log_concentration,0,TPI,Glc,0,trp-L,-11.589985242728579,-11.400246634423866
log_concentration,0,TPI,Glc,0,tyr-L,-10.583177604271258,-9.94600977606066
log_concentration,0,TPI,Glc,0,udp,-9.876012158852486,-9.533401764059775
log_concentration,0,TPI,Glc,0,udpg,-6.352619842314842,-6.00789379374716
log_concentration,0,TPI,Glc,0,udpglcur,-10.122455053858529,-9.508206023365643
log_concentration,0,TPI,Glc,0,ump,-9.822536225172184,-9.258450267338038
log_concentration,0,TPI,Glc,0,ura,-12.949585067089611,-12.775068745971264
log_concentration,0,TPI,Glc,0,uri,-13.141659884842126,-11.637197426111966
log_concentration,0,TPI,Glc,0,utp,-8.077529483616136,-7.688857387338607
log_concentration,0,wt,Glc,0,23dpg,-8.252471549984293,-7.8100360554638195
log_concentration,0,wt,Glc,0,6pgc,-8.761680748432482,-8.456210621895965
log_concentration,0,wt,Glc,0,Lcystin,-10.718820179350857,-10.167352000664918
log_concentration,0,wt,Glc,0,Pool_2pg_3pg,-7.130446343948688,-6.935743729985052
log_concentration,0,wt,Glc,0,accoa,-7.4665301715172365,-7.241122352916512
log_concentration,0,wt,Glc,0,acon-C,-8.117788631280845,-7.697463547949936
log_concentration,0,wt,Glc,0,ade,-12.44015959477797,-12.205085932558681
log_concentration,0,wt,Glc,0,adn,-12.635414260085147,-11.187618795833304
log_concentration,0,wt,Glc,0,adp,-8.33277223718164,-8.171481056881765
